사례번호,줄번호,내용,대입연도,대학명,모집단위,전형명
7497,247653,2023학년도 대입 면접 후기[GIST 기초학부],2023,GIST,기초학부,일반전형
7497,247654,대학/학과,2023,GIST,기초학부,일반전형
7497,247655,GIST 기초학부,2023,GIST,기초학부,일반전형
7497,247656,전 형 명,2023,GIST,기초학부,일반전형
7497,247657,일반전형,2023,GIST,기초학부,일반전형
7497,247658,면접시간,2023,GIST,기초학부,일반전형
7497,247659,8분[면접위원 2명]면접유형,2023,GIST,기초학부,일반전형
7497,247660,면접절차온라인 대기실 > 온라인 면접 > 종료,2023,GIST,기초학부,일반전형
7497,247661,면 접 특 징,2023,GIST,기초학부,일반전형
7497,247662,[유의사항] ◈ 온라인 기반 면접,2023,GIST,기초학부,일반전형
7497,247663,질문 및 답변 내용 (질문 위주로 구체적으로 진술),2023,GIST,기초학부,일반전형
7497,247664,Q : 지원 동기에 대해 말해주세요.,2023,GIST,기초학부,일반전형
7497,247665,"A : 지스트의 인재상에 부합하는 인재로 성장하고자 지원하였다고 대답하고, 자신의 관심 전공 분야인 항공우주학을 연구",2023,GIST,기초학부,일반전형
7497,247666,"하기 위한 기초 지식을 기계공학부에서 쌓은 후, 대학원 진학을 목표로 하고 있다고 하였습니다.",2023,GIST,기초학부,일반전형
7497,247667,Q : 여가 생활로 무엇을 하나요?,2023,GIST,기초학부,일반전형
7497,247668,"A : 평소 음악을 들으며 잠깐의 휴식을 취하거나, 축구를 하며 학업 스트레스를 풀었다고 대답하였습니다.",2023,GIST,기초학부,일반전형
7497,247669,Q : 우크라이나 전쟁에 대해 어떻게 생각하나요?,2023,GIST,기초학부,일반전형
7497,247670,"A : 전쟁은 잘못되었다는 점을 먼저 주장한 후, 스페이스X의 스타링크 사업 등을 언급하며 관심 전공 분야인 항공우주 산",2023,GIST,기초학부,일반전형
7497,247671,업에서 러시아의 불법적 침략 행위로부터 우크라이나에 도움을 줄 수 있는 다양한 방법이 존재함을 알게 되었다고 ,2023,GIST,기초학부,일반전형
7497,247672,답변하였습니다.,2023,GIST,기초학부,일반전형
7497,247673,Q : 롤 모델은 누구인가요?,2023,GIST,기초학부,일반전형
