사례번호,줄번호,내용,대입연도,대학명,모집단위,전형명
5359,172597,2021학년도 대입 면접 후기[DGIST],2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172598, [대학/학과]  DGIST 기초학부  [전형명] 학생부종합 학교장추천전형,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172599,면 접 시 간 15분[면접위원 3명] 면 접 유 형,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172600,면 접 절 차 대기실 대기-면접-퇴실,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172601,[ 유 의 사 항 ],2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172602,◈ 온라인 면접,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172603,◈ 생기부와 자소서를 기반으로 한 면접,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172604,질문 및 답변 내용 (질문 위주로 구체적으로 진술),2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172605,Q : 디지스트에 지원한 이유는?,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172606,A : 무학과 단일학부 제도가 있는 디지스트에서 특정 분야에만 국한되지 않은 폭넓은 학문을 공부하며 새로,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172607,운 분야를 개척할 수 있을 것이라 생각하기 때문이다.,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172608,Q : 정보화 교육 개인 봉사를 하게 된 계기는?,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172609,A : 여러 봉사를 알아보던 중 정보화 교육 봉사가 있다는 것을 알게 되었고 내가 가장 잘할 수 있는 봉사인,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172610,것 같아 시작하게 되었다.,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172611,"Q : 봉사를 하면서 뿌듯했던 것, 힘들었던 점",2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172612,A : 문서 작성을 전혀 하지 못하시던 분이 자격증 시험 응시를 목표로 하실 만큼 실력이 향상되신 것을 보,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172613,고 뿌듯함을 느꼈다. 문서 작성 프로그램에서 이용되는 다양한 아이콘의 기능과 활용 순서를 어려워하셔,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172614,서 그것을 알려드릴 때가 힘들었던 것 같다.,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172615,Q : 동아리 활동하면서 부장으로서 힘들었던 점과 해결 방법,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172616,A : 부원들이 서로 다른 반에 속해 있었기 때문에 모두가 가능한 시간에 활동 일정을 잡는 것이 가장 힘들,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172617,었다. 반별 수행평가 일정 등 부원들의 상황을 고려하여 모두가 부담스럽지 않은 시간대에 모이고자 했,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172618,고 급하게 활동 일정을 잡기보다는 미리 계획할 수 있도록 했다.,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172619,Q : 진로희망이 프로그래머라고 되어 있는데 구체적으로 어떤 분야?,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172620,A :양자컴퓨터에 적용할 수 있는 양자알고리즘을 개발하고 싶다.,2021,DGIST,무학과,학생부종합 학교장추천전형
5359,172621,Q : 본인은 어떤 사람인가?(처음에 자신을 한 단어로 표현하라고 하셨다가 바꿈),2021,DGIST,무학과,학생부종합 학교장추천전형
